codigo,descripcion,capitulo
J00,Rinofaringitis aguda (resfriado comun),X - Enfermedades del sistema respiratorio
J06.9,Infeccion aguda de las vias respiratorias superiores no especificada,X - Enfermedades del sistema respiratorio
J11.1,Gripe con otras manifestaciones respiratorias virus no identificado,X - Enfermedades del sistema respiratorio
J18.9,Neumonia no especificada,X - Enfermedades del sistema respiratorio
J45.9,Asma no especificada,X - Enfermedades del sistema respiratorio
K29.7,Gastritis no especificada,XI - Enfermedades del sistema digestivo
K30,Dispepsia,XI - Enfermedades del sistema digestivo
K59.0,Estreñimiento,XI - Enfermedades del sistema digestivo
M54.5,Lumbago no especificado,XIII - Enfermedades del sistema osteomuscular
M54.4,Lumbago con ciatica,XIII - Enfermedades del sistema osteomuscular
M79.3,Paniculitis,XIII - Enfermedades del sistema osteomuscular
N39.0,Infeccion de vias urinarias sitio no especificado,XIV - Enfermedades del sistema genitourinario
N76.0,Vaginitis aguda,XIV - Enfermedades del sistema genitourinario
F32.9,Episodio depresivo no especificado,V - Trastornos mentales y del comportamiento
F41.1,Trastorno de ansiedad generalizada,V - Trastornos mentales y del comportamiento
F43.1,Trastorno de estres postraumatico,V - Trastornos mentales y del comportamiento
G43.9,Migraña no especificada,VI - Enfermedades del sistema nervioso
G40.9,Epilepsia tipo no especificado,VI - Enfermedades del sistema nervioso
I10,Hipertension esencial primaria,IX - Enfermedades del sistema circulatorio
I25.9,Enfermedad isquemica cronica del corazon no especificada,IX - Enfermedades del sistema circulatorio
E11.9,Diabetes mellitus tipo 2 sin complicaciones,IV - Enfermedades endocrinas
E10.9,Diabetes mellitus tipo 1 sin complicaciones,IV - Enfermedades endocrinas
E66.9,Obesidad no especificada,IV - Enfermedades endocrinas
A09.9,Gastroenteritis y colitis no especificada,I - Enfermedades infecciosas y parasitarias
B34.9,Infeccion viral de tipo no especificado,I - Enfermedades infecciosas y parasitarias
S52.2,Fractura de la diafisis del cubito,XIX - Traumatismos y envenenamientos
S62.3,Fractura de hueso del metacarpo,XIX - Traumatismos y envenenamientos
T14.1,Herida de region no especificada del cuerpo,XIX - Traumatismos y envenenamientos
Z00.0,Examen medico general,XXI - Factores que influyen en el estado de salud
Z76.9,Persona en contacto con servicios de salud no especificado,XXI - Factores que influyen en el estado de salud
O80.0,Parto espontaneo cefalico,XV - Embarazo parto y puerperio
O26.9,Complicacion no especificada relacionada con el embarazo,XV - Embarazo parto y puerperio
L30.9,Dermatitis no especificada,XII - Enfermedades de la piel
H10.9,Conjuntivitis no especificada,VII - Enfermedades del ojo
J02.9,Faringitis aguda no especificada,X - Enfermedades del sistema respiratorio
J03.9,Amigdalitis aguda no especificada,X - Enfermedades del sistema respiratorio
